"asin","brand_route","customer_install_object","attachment_method","confirmed_by_customer_images","review_language_examples","diverter_or_knob_dependency","widespread_or_wide_faucet_status","off_label_or_confusing_use","evidence_level","notes"
"B0GFQ1JRSK","Canopy / premium baby tub-spout spout-cover","Wall-mounted bathtub tub spout / bath spout body","Soft silicone housing slides/covers around the tub spout like a bumper; lower filter body hangs below outlet","Yes; archived Canopy customer images show unit installed over tub spout","Reviews mention fit on tub spout, fit both tubs, faucet sizes, standard bath flow","Can work around some diverter-spout contexts in customer images/reviews, but exact diverter compatibility is not fully tested","No widespread/deck-mounted faucet evidence; likely needs a protruding tub spout body with enough length/clearance","Not for sink faucet or shower arm","High for tub spout object; low for exact spout taxonomy","Use as premium tub-spout-cover benchmark, not as generic faucet-hanging route"
"B008A4AG2U","Crystal Quest / classic bath-ball technical benchmark","Bathtub faucet / tub spout, directly under outlet","Bath-ball hangs from spout/faucet by handle/cord so water drops through top grille","Yes; archived images show square tub spout, hanging cords, top grille under running water","Reviews mention any bath spout, bath faucet, water flows into bath ball","Works when handle/cord can sit on spout; exact diverter dependency unclear","No widespread/deck-mounted faucet evidence; may fit some nonstandard spouts only if handle can hang securely","Not for shower arm; not installed on faucet handles","High for hanging under tub spout; low for universal fit","Classic bath-ball route"
"B0742KFY9R","Santevia / soft-hanging cloth route","Bathtub faucet / tub spout / hot water tap","Soft cloth bag/pouch hangs over faucet/spout using strap, Velcro, zip-tie/elastic or user-added string","Yes; archived images show cloth bag hanging from faucet and soft internal components","Reviews mention faucet, tub faucet, bath spout, hot water tap, Velcro straps, string tied to faucet","No strict diverter dependency, but holding position varies by faucet geometry","Partial wide-faucet anecdote: one review says wider faucet only fit after cutting zip tie; no true widespread/deck-mounted confirmation","Not intended for sink faucet; soft pouch may be misused under any tap","High for soft bag on tub faucet; medium-low for wide faucet edge cases","Most flexible route physically, but highest hygiene/fit workaround risk"
"B0CXT5KL5Z","Beati Faucet / high-sales low-price bath-ball route","Tub faucet / bath faucet / tub spout outlet","Bath-ball style unit sits/hangs under faucet using standard/flexible handles","No actual customer images archived in this pass","Reviews mention standard faucets, under bath faucet, tub faucet, faucet mismatch","PDP claims handles for standard/flexible faucet designs; exact diverter dependency unclear","No widespread/deck-mounted evidence; one review title says good for regular faucets, another says it does not match faucet","Some review language says faucet generally, which can blur sink vs tub faucet","Medium from PDP + review language; no visual archive","Do not accept 'fits all tubs' literally"
"B0D3X39378","SHLLKTTRY / overflow low-price route","Bathtub faucet / tub spout; sometimes tied to nearby control/handle as workaround","Two suspension cords / silicone loop / string around faucet or spout; splash/overflow guard handles high flow","No actual customer images archived in this pass","Reviews mention fits over bathtub faucet, under faucet, adjustable string, silicone loop, tied to middle handle","Not a strict diverter product, but retention depends on spout/faucet shape","One review title mentions wide faucet fit; not enough to call widespread/deck-mounted supported","'With overflow' means overflow/splash handling, not installation in bathtub overflow drain","High from large review corpus; visual archive missing","Primary object is still tub faucet/spout, not overflow drain"
"B0DTQ8H23D","Tubo / premium-ish baby bath route","Bath spout / tub faucet","Hard plastic handle or Velcro strap hangs/attaches to faucet/spout","No actual customer images archived in this pass","Reviews mention bath faucet, bath spout, hard plastic handle, Velcro strip, string workaround","Important: one review says older faucet without diverter knob would not hold even with Velcro; knob/spout geometry matters","No widespread/deck-mounted evidence","Some off-target reviews mention kitchen faucet or bathroom sink; treat as misuse/noise","Medium from PDP + review language","Best classified as handle/Velcro tub-spout hanger with no-diverter risk"
"B0FL24SLM5","Yolycen / ultra-low-price long-life claim route","Tub faucet / bathtub spout outlet","Hanging/overflow-guard bath filter for faucet; exact strap/handle form not visually archived","No actual customer images archived in this pass","PDP says bath filter for tub/faucet and universal install; corpus has general faucet/spout language","Diverter dependency not confirmed","No widespread/deck-mounted evidence","No clear off-label pattern isolated","Low-medium from PDP; visual archive missing","Treat as generic low-price tub-faucet hanging route until images are archived"
"B0FT7R9ZQ9","JYFJYF / Velcro strap route","Tub faucet / tub spout body","Adjustable Velcro strap wraps around/hangs from faucet; no tools","No actual customer images archived in this pass","Reviews mention for tub faucet, hung on tub faucet, placed under tub faucet, Velcro strap fit my tub faucet","No strict diverter dependency in PDP, but retention still depends on faucet shape and strap grip","Velcro may adapt to more odd shapes, but no widespread/deck-mounted proof","At least one review mentions kitchen sink, likely off-label/misuse for this category","Medium from PDP + review language","Best low-price proxy for odd-shape strap route, but not proven universal"
"B0G5NZBW6W","Syvahome / KDF55 overflow low-price route","Tub spout / tub faucet","Hangs from spout/faucet; PDP mentions flexible handles and Velcro option for no-diverter setups","No actual customer images archived in this pass","Reviews mention hang it from the spout, fits most spouts, fits faucet tight, no stopper issue","One review says filter requires a spigot with a diverter; PDP says Velcro can help no-diverter setups, so evidence is mixed","No widespread/deck-mounted evidence","Some review language says shower/faucet broadly, but bath use dominates","Medium from PDP + review language","Spout geometry and stopper/diverter detail are likely key fit constraints"
"B0GKT5CHYL","Uiuaquas / all-metal tub-spout benchmark","Bathtub faucet / tub spout","Hanging cord/metal body under faucet/spout; all-metal housing","No actual customer images archived in this pass","PDP says bathtub faucets, included hanging cord, 3-second universal installation","Diverter dependency not confirmed","No widespread/deck-mounted evidence; 99% faucet fit is unverified","No off-label pattern isolated due small corpus","Low due 13-review corpus and no visual archive","Do not treat all-metal route as proven fit until images or sample records exist"
