"asin","brand_route","claim_accuracy_score_100","score_confidence","review_count","avg_rating","positive_4_5_pct","negative_1_2_pct","high_kill_negative_count","minor_mixed_positive_count","pdp_main_selling_points","review_support_signals","review_counter_signals","score_reason","source_pdp_snapshot","source_review_label_file"
"B0GFQ1JRSK","Canopy / premium baby tub-spout spout-cover","78","low","26","4.19","76.9","7.7","2","5","Gentler bath water for baby/sensitive skin; reduces chlorine and irritants; BPA-free silicone spout cover; color-changing temperature gauge; tool-free install on most tub spouts; 90-day filter replacement; dishwasher-cleanable parts.","20/26 reviews are 4-5 star; positive labels include install/fit 9 and baby/sensitive scenario 7; archived customer images confirm the silicone spout-cover form, manual, box and adapter/insert pieces.","Negative labels include overflow/flow path 3, refill/lifespan 5, claim dispute 2, overall ineffective 2. Review sample is still small and does not verify contaminant removal.","Core physical/form-factor claims are visually and textually supported, but water-quality and skin-outcome claims remain review-perception only. Flow and refill caveats keep it below 80.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0GFQ1JRSK_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B008A4AG2U","Crystal Quest / classic bath-ball technical benchmark","55","very_low","19","3.21","57.9","42.1","8","3","Bath-ball tub faucet filter; removes chlorine, lead and impurities; pH-balanced clean bath water; 2,500-gallon lifespan; easy install; fits most tubs but not universal; BPA-free.","Small positive signal around install/fit 5, skin/hair 3, baby/kids 2, chlorine smell 1; archived images confirm bath-ball hanging form, refill/hard-handle packets and top grille/water-flow path.","Only 19 reviews in corpus; 42.1% are 1-2 star; high-kill negatives 8; overall ineffective 6; overflow/flow path 3; refill/lifespan 2; install instability 1; resale concern 1.","Physical bath-ball form is supported, but broad contaminant and long-life claims are not review-verified and the small corpus has a high negative share.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B008A4AG2U_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0742KFY9R","Santevia / soft-hanging cloth bath filter","43","high","456","3.32","54.6","37.1","142","25","Organic cotton bath faucet filter; filters 99.9% chlorine; adds magnesium and zinc minerals; sensitive skin/baby/eczema positioning; anti-slip strap; easy install; 2-month or 4,755-gallon lifespan; rinse and air dry after use.","Large corpus and customer images confirm soft cloth/mesh hanging route, cotton bag, loofah-like mesh and drawstring pouch. Positive labels include install/fit 21 and baby/sensitive scenario 16.","1-2 star share is 37.1%; high-kill negatives 142; overall ineffective 65; mold/hygiene 57; claim dispute 34; baby/sensitive effect unstable 29; quality 29; overflow/flow path 25.","The soft hanging format is real, but the core promise around chlorine/minerals/sensitive-skin comfort is heavily challenged by effect, hygiene and claim-boundary complaints.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0742KFY9R_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0CXT5KL5Z","Beati Faucet / high-sales low-price bath-ball route","72","high","356","4.70","92.4","6.7","22","7","Hard water softener; removes contaminants, chlorine and fluoride; improves skin/hair/nails; spa-like soft water; fits all tubs/all standard faucets; fast uninterrupted filtration; easy install with standard and flexible handles.","Strong review-level support: 92.4% are 4-5 star; positive labels include install/fit 71 and skin/hair 29. Negative share is comparatively low.","Broad claims create risk: 'fits all tubs', hard-water softening, fluoride/contaminant removal and circulation/oxygen language are not review-verified. High-kill negatives 22; overall ineffective 16; overflow/flow path 7; claim dispute 7; quality 7.","Customer satisfaction is high, but the PDP overstates fit and contaminant/softening claims. Accurate for easy-use/low-price appeal, less accurate for technical water-treatment promises.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0CXT5KL5Z_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0D3X39378","SHLLKTTRY / overflow low-price route","68","high","1410","4.53","87.4","11.6","133","116","Overflow/splash guard bath filter; 2,500-gallon filtration; removes contaminants, chlorine and fluoride; hard-water softener; improves skin/hair/nails; durable ABS; two suspension cords fit almost any tub faucet; economical high quality.","Largest corpus. Positive labels are strong: install/fit 352, skin/hair 205, baby/sensitive 186, chlorine 34, flow stable 11. 87.4% of reviews are 4-5 star.","High-kill negatives 133 and high-star mixed complaints 116. Key conflicts: overall ineffective 79, refill/lifespan 66, overflow/flow path 61, claim dispute 44, baby/sensitive instability 32, quality 32.","The basic value/easy-install story is well supported, but the very claims it emphasizes, overflow control, universal-ish fit, long life and hard-water/contaminant removal, generate meaningful counter-evidence.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0D3X39378_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0DTQ8H23D","Tubo / premium-ish baby bath filter route","49","medium","76","3.55","59.2","22.4","14","8","8-stage bath filter; removes up to 99% chlorine, heavy metals and harmful contaminants; gentler bath for sensitive skin/children; upgraded overflow solution prevents overflow even with strong water pressure; tool-free install on most standard tub faucets; travel-friendly.","Some support exists for baby/sensitive use 6, install/fit 4, flow stable 3 and chlorine 2.","The core claims are directly challenged: high-kill negatives 14/76; overall ineffective 11; claim dispute 8; quality 8; overflow/flow path 7; refill/lifespan 6. The 'prevents overflow even with strong water pressure' claim is especially exposed.","Premium baby positioning is not matched by the review evidence. Technical and overflow promises are too strong for the observed complaint pattern.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0DTQ8H23D_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0FL24SLM5","Yolycen / ultra-low-price long-life claim route","73","medium","90","4.74","94.4","5.6","5","8","8,000-gallon or 10-12 month lifespan; removes chlorine, fluoride, heavy metals and odors; hard-water softener; vitamin C, mineralizing and magnetic energy spheres; KDF55/activated carbon/calcium sulfite/zeolite/tourmaline; universal install; high-temperature ABS.","Very high star support: 94.4% are 4-5 star. Positive labels include install/fit 16 and baby/sensitive 9. High-kill negatives are only 5 in this corpus.","The claim stack is aggressive relative to review evidence. Refill/lifespan complaints 7, quality 4, claim dispute 3 and baby/sensitive instability 3 appear despite small-medium sample size.","Good customer sentiment supports the simple low-price/easy-use appeal, but long-life, hard-water, heavy-metal and multi-media claims remain unverified and should be treated as high-overclaim risk.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0FL24SLM5_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0FT7R9ZQ9","JYFJYF / Velcro strap low-price route","75","low","47","4.62","91.5","8.5","4","10","Adjustable Velcro tool-free install; most standard faucets and travel use; 8 filter media / 10-stage purification; removes fluoride, chlorine, heavy metals, rust and impurities; pH balancing; sensitive skin/mothers/infants/pets; 2,500-gallon maintenance; rinse before first use and moderate flow to avoid overflow.","High star support at 91.5%; positive labels include baby/sensitive 7, install/fit 6 and skin/hair 4. The PDP includes useful disclaimers about first-use residue and moderate flow.","Small corpus. Claim dispute 4, refill/lifespan 3, overflow/flow path 2, overall ineffective 2 and shedding/residue 3 appear. Technical removal and pH claims remain unsupported by reviews.","The physical Velcro/easy-use story is plausible and the warning language improves honesty, but 10-stage/fluoride/heavy-metal/pH claims are still broad for the available evidence.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0FT7R9ZQ9_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0G5NZBW6W","Syvahome / KDF55 overflow low-price route","69","low","69","4.33","88.4","10.1","7","10","Vitamin C and mineral infusion; 8-stage defense with 99% elimination; KDF55/activated carbon/calcium sulfite; blocks chlorine, heavy metals, rust and limescale; nearly any bathtub faucet; Velcro option; no drip/no splash/no wait; high-temperature ABS; prevents leaks, cracks and media breakdown.","88.4% 4-5 star. Positive labels include install/fit 12 and chlorine 4. High-kill negatives are 7.","Claims are unusually broad: 99% elimination, limescale, no drip/no splash/no wait and no leaks/cracks/media breakdown. Counter-signals include refill/lifespan 7, claim dispute 6, overall ineffective 4, overflow/flow path 2 and baby/sensitive instability 2.","Reviews broadly support easy use, but technical removal, limescale/softening and no-splash/no-leak claims exceed the evidence level.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0G5NZBW6W_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
"B0GKT5CHYL","Uiuaquas / all-metal tub-spout benchmark","64","very_low","13","4.38","84.6","0.0","0","5","Solid metal lead-free housing; multi-stage filtration with 99% removal; removes chlorine, heavy metals, rust, sediment and odors; softens hard water; 15L/min high flow with 100% filtering efficiency and zero overflow; baby/pregnant/sensitive skin; 3-second tool-free universal install fits 99% of faucets.","No 1-2 star reviews in the 13-row corpus; positive labels include baby/sensitive 3 and install/fit 2.","Very small sample. Claim dispute 2, refill/lifespan 2 and mold/hygiene 1 appear. The PDP makes the strongest technical promises in the set: 99% removal, 100% filtering efficiency, zero overflow, 15L/min and 99% faucet fit, none of which are review-verifiable.","Low negative signal is useful but not enough to validate the very aggressive technical/universal-fit claims. Score is held down mainly by overclaim and tiny sample size.","reports/bathtub_filter_2026-04-18/raw/rainforest_pdp_B0GKT5CHYL_amz_us.json","2026-04-20-competitor-review-corpus/bathtub-filter-competitor-review-labeling-evidence-chain-2026-06-02.csv"
